ID,Country,Region,City,Latitude,Longitude
113,Canada,Ontario,Belleville,44.2436328,-77.3607597
114,Canada,Ontario,Barrie,44.3893208,-79.6901302
115,Canada,Ontario,Sarnia,42.9743821,-82.403533
116,Canada,Ontario,Peterborough,44.3048009,-78.3199496
117,Finland,-,Pori,61.4866126,21.7972071
118,Australia,Australian Capital Territory,Canberra,-35.2975906,149.1012676
119,Australia,New South Wales,Port Macquarie,-31.4299499,152.9103525
120,Afghanistan,Kabul,Kabul,34.5266431,69.1849082
121,Spain,Andalusia,Córdoba,37.8845813,-4.7760138
122,Spain,Andalusia,Málaga,36.7213028,-4.4216366
123,Finland,-,Turku,60.4517531,22.2670522
124,United Kingdom,England,Derby,52.9142235,-1.4719885461266053
125,Germany,Mecklenburg-Vorpommern,Schwerin,53.6288297,11.4148038
126,-,-,-,N/A,N/A
127,Germany,Schleswig-Holstein,Kiel,54.3227085,10.135555
128,United Kingdom,England,Nottingham,52.9534193,-1.1496461
129,Canada,Nova Scotia,Halifax,44.648618,-63.5859487
130,Portugal,-,Viseu,40.6574713,-7.9138664
131,Portugal,-,Braga,41.5510583,-8.4280045
132,United States of America,Kansas,Topeka,39.049011,-95.677556
133,Austria,Upper Austria,Linz,48.3059078,14.286198
134,China,Beijing,Beijing,39.9057136,116.3912972
135,Portugal,-,Évora,38.5707742,-7.9092808
136,Portugal,-,Vila Real,41.5229299,-7.5466312481173325
137,Portugal,-,Setúbal,38.5241783,-8.8932341
138,Portugal,-,Portalegre,39.2076447,-7.721513354015343
139,Portugal,-,Santarém,39.2363637,-8.6867081
140,Portugal,-,Leiria,39.7437902,-8.8071119
141,Portugal,-,Bragança,41.5084468,-6.773302360533066
142,Portugal,-,Faro,37.0162727,-7.9351771
143,Portugal,Azores,Angra do Heroismo,38.6593167,-27.2195578
144,Portugal,Madeira,Funchal,32.6496497,-16.9086783
145,-,-,-,N/A,N/A
146,Portugal,Azores,Ponta Delgada,37.7393398,-25.6689503
147,Germany,North Rhine-Westphalia,Dortmund,51.5142273,7.4652789
148,Germany,Schleswig-Holstein,Lübeck,53.866444,10.684738
149,United Kingdom,England,St Albans,51.753051,-0.3379675
150,-,-,-,N/A,N/A
151,Germany,Hesse,Gießen,50.5808795,8.69381607080086
152,South Africa,Eastern Cape,Port Elizabeth,-33.9618359,25.6186512
153,United Kingdom,England,Wolverhampton,52.5847651,-2.127567
154,South Africa,Gauteng,Pretoria,-25.7459277,28.1879101
155,Sweden,Kronobergs län,Växjö,56.8787183,14.8094385
156,Hungary,-,Szekszárd,46.3484884,18.701663
157,Germany,Rhineland-Palatinate,Zweibrücken,49.248655,7.3641981
158,Portugal,-,Tomar,39.6036596,-8.4150492
159,Denmark,Capital Region of Denmark,Gentofte,55.7535946,12.541436
160,Portugal,-,Coimbra,40.2111931,-8.4294632
161,Portugal,-,Porto,41.1494512,-8.6107884
162,Philippines,Albay,Legazpi,13.1388596,123.7343104
163,Romania,Arad,Arad,46.1753793,21.3196342
164,Morocco,-,Casablanca,33.5738331,-7.6153131
165,Sweden,Uppsala län,Uppsala,59.8586126,17.6387436
166,Germany,Free State of Bavaria,Würzburg,49.7933723,9.9309779
167,-,-,-,N/A,N/A
168,Germany,North Rhine-Westphalia,Moers,51.451283,6.62843
169,Australia,New South Wales,Newcastle,-32.9192953,151.7795348
170,Australia,New South Wales,Batemans Bay,-35.7072183,150.178289
171,Australia,New South Wales,Nowra,-34.8741198,150.6004709
172,Turkey,Ankara,Ankara,39.9207759,32.8540497
173,Turkey,Edirne,Edirne,41.6759327,26.5587225
174,Turkey,Çanakkale,Çanakkale,40.146271,26.4028892
175,Turkey,Kırklareli,Kırklareli,41.7370223,27.2235523
176,-,-,-,N/A,N/A
177,Turkey,Balıkesir,Balıkesir,39.6470497,27.8884166
178,Turkey,Aydın,Aydın,37.8483767,27.8435878
179,Turkey,Muğla,Muğla,37.2151202,28.3636912
180,Turkey,Sakarya,Adapazarı,40.7755188,30.4020898
181,Turkey,Afyonkarahisar,Afyonkarahisar,38.7568597,30.5387044
182,Turkey,Bilecik,Bilecik,40.1435101,29.9752911
183,-,-,-,N/A,N/A
184,Turkey,Burdur,Burdur,37.7248394,30.2887286
185,-,-,-,N/A,N/A
186,Turkey,Denizli,Denizli,37.7827875,29.0966476
187,Turkey,Düzce,Düzce,40.8391531,31.1595361
188,Turkey,Eskişehir,Eskişehir,39.7743941,30.519116
189,-,-,-,N/A,N/A
190,Turkey,Konya,Konya,37.872734,32.4924376
191,Turkey,Kütahya,Kütahya,39.4199106,29.9857886
192,Turkey,Manisa,Manisa,38.566982,27.4548431
193,Turkey,Uşak,Uşak,38.6740401,29.4058419
194,Turkey,Yalova,Yalova,40.6582529,29.2699916
195,Hungary,-,Kaposvár,46.3564692,17.7886886
196,Sweden,Stockholms län,Stockholm,59.3251172,18.0710935
197,Sweden,Västra Götalands län,Gothenburg,57.7072326,11.9670171
198,Iran,Tehran,Tehran,35.6892523,51.3896004
199,Finland,-,Espoo,60.2049651,24.6559808
200,Sweden,Värmlands län,Karlstad,59.3809146,13.5027631
201,Australia,New South Wales,Coffs Harbour,-30.2985996,153.1094116
202,Australia,New South Wales,Grafton,-29.6816773,152.9336357
203,Australia,New South Wales,Ballina,-28.85268465,153.49062466570092
204,Slovakia,Region of Žilina,Žilina,49.2234674,18.7393139
